Complaint ID,Complaint Text,Department
504,The lack of proper traffic signals near the school zone is making it unsafe for children.,Traffic
506,The government hospital lacks proper waiting areas for patients and their attendants.,Health
507,Frequent voltage fluctuations are affecting the functioning of household appliances.,Electricity
508,"The underground water pipes are leaking, leading to significant water wastage.",Water
509,"The flyover construction is causing major traffic diversions, increasing travel time.",Public Works
510,The public toilets in our area are not maintained and have become unusable.,Sanitation
511,"Traffic police are rarely seen at busy intersections, leading to reckless driving.",Traffic
512,"The nearest hospital lacks a proper maternity ward, forcing pregnant women to travel far.",Health
513,"The transformer in our locality makes loud noises, indicating an urgent repair need.",Electricity
514,The water bills have increased suddenly without any changes in consumption patterns.,Water
515,"The newly built bridge has no pedestrian walkway, making it risky for walkers.",Public Works
516,Stray dogs are increasing in number due to garbage mismanagement in our locality.,Sanitation
517,The absence of proper lane markings is leading to frequent traffic congestion.,Traffic
518,The emergency room in the government hospital is always overcrowded with no proper management.,Health
